type_id,start_station_id,dest_station_id,price_start,price_dest,volume_remain_start,volume_remain_dest,supply_start,supply_dest,sell_price_low_dest,sell_price_avg_dest,sell_volume_avg_dest
215,60008494,60004588,5.489999771118164,8.399999618530273,79390,434788,218660,733319,7.64,7.65625,351113.0
215,60008494,60011866,5.489999771118164,6.179999828338623,79390,11179,218660,2660653,5.84,5.94,2257860.0
215,60011866,60004588,6.179999828338623,8.399999618530273,11179,434788,2660653,733319,7.64,7.65625,351113.0
216,60003760,60004588,7.0,12.0,856,118889,3186099,128088,10.99,11.3841,261302.0
216,60003760,60008494,7.0,8.0,856,33175,3186099,710135,3.06,10.6538,1164093.0
216,60008494,60004588,8.0,12.0,33175,118889,710135,128088,10.99,11.3841,261302.0
216,60011866,60003760,5.5,7.0,1100,856,76382,3186099,3.1,4.60286,8455861.0
216,60011866,60004588,5.5,12.0,1100,118889,76382,128088,10.99,11.3841,261302.0
216,60011866,60008494,5.5,8.0,1100,33175,76382,710135,3.06,10.6538,1164093.0
217,60011866,60003760,10.539999961853027,13.90999984741211,100000,981600,1085048,23798219,2.01,7.0475,21532672.0
217,60011866,60004588,10.539999961853027,14.34000015258789,100000,100,1085048,100,7.89,7.89268,797307.0
217,60011866,60008494,10.539999961853027,13.770000457763672,100000,203995,1085048,2441794,12.77,12.7741,3600104.0
218,60003760,60004588,11.25,14.600000381469728,600,100,600,100,15.0,21.9821,107958.0
218,60003760,60008494,11.25,12.59000015258789,600,24057,600,162637,13.97,13.9779,1691078.0
218,60003760,60011866,11.25,12.399999618530272,600,41200,600,1998630,3.04,8.10036,893645.0
218,60008494,60004588,12.59000015258789,14.600000381469728,24057,100,162637,100,15.0,21.9821,107958.0
218,60011866,60004588,12.399999618530272,14.600000381469728,41200,100,1998630,100,15.0,21.9821,107958.0
219,60008494,60003760,15.0,24.0,900,700,900,4654650,5.19,10.8188,37379728.0
219,60008494,60004588,15.0,24.479999542236328,900,87449,900,213699,14.01,14.9727,189055.0
219,60011866,60003760,13.0,24.0,30433,700,261665,4654650,5.19,10.8188,37379728.0
219,60011866,60004588,13.0,24.479999542236328,30433,87449,261665,213699,14.01,14.9727,189055.0
219,60011866,60008494,13.0,15.0,30433,900,261665,900,3.51,23.1537,1844972.0
220,60003760,60004588,19.420000076293945,23.59000015258789,995000,63069,6012755,161569,25.0,25.0,136019.0
220,60003760,60011866,19.420000076293945,38.0,995000,44214,6012755,156145,19.0,19.6539,690987.0
220,60004588,60011866,23.59000015258789,38.0,63069,44214,161569,156145,19.0,19.6539,690987.0
220,60005686,60011866,26.950000762939453,38.0,305240,44214,305240,156145,19.0,19.6539,690987.0
220,60008494,60004588,19.899999618530277,23.59000015258789,200,63069,200,161569,25.0,25.0,136019.0
220,60008494,60011866,19.899999618530277,38.0,200,44214,200,156145,19.0,19.6539,690987.0
221,60003760,60008494,18.809999465942383,48.41999816894531,202200,47748,3509838,995364,29.7,29.7,1065321.0
221,60004588,60008494,20.0,48.41999816894531,215177,47748,215177,995364,29.7,29.7,1065321.0
221,60005686,60008494,25.989999771118164,48.41999816894531,329188,47748,329188,995364,29.7,29.7,1065321.0
221,60011866,60003760,17.0,18.809999465942383,48000,202200,101400,3509838,4.04,22.6443,51757525.0
221,60011866,60004588,17.0,20.0,48000,215177,101400,215177,17.0,20.3393,246404.0
221,60011866,60008494,17.0,48.41999816894531,48000,47748,101400,995364,29.7,29.7,1065321.0
222,60004588,60003760,24.0,27.299999237060547,217648,25000,217648,9895614,32.05,37.5896,13489254.0
222,60004588,60011866,24.0,29.0,217648,1243460,217648,7243460,26.0,29.332,4137083.0
222,60005686,60011866,25.0,29.0,200,1243460,26298,7243460,26.0,29.332,4137083.0
222,60008494,60011866,25.520000457763672,29.0,273,1243460,2178388,7243460,26.0,29.332,4137083.0
223,60003760,60004588,35.56999969482422,189900.0,1677638,3000,9555659,3000,57.95,57.9848,151117.0
